path,phase,file_size,sha256_before,sha256_after,unchanged
config/manual_elementary_middle_overrides.csv,CORE,13914,9f3d70184c7d66dfbbc7d43cc8e754462a1a3607fdd88a8c385fe0ed04c4b4d6,9f3d70184c7d66dfbbc7d43cc8e754462a1a3607fdd88a8c385fe0ed04c4b4d6,True
data/processed/phase10_common_sample.parquet,10,180112,a533b9d71c9281e7761e9f5b29bd21ed3057377183c830a837179c0a114bf43a,a533b9d71c9281e7761e9f5b29bd21ed3057377183c830a837179c0a114bf43a,True
data/processed/phase10_time_aligned_sample.parquet,10,2201582,76e3e0a73abfd913aa0330c7e14750fe0d9b17231b2b4f0dd9c78cd256f4e863,76e3e0a73abfd913aa0330c7e14750fe0d9b17231b2b4f0dd9c78cd256f4e863,True
data/processed/phase115_annual_migration_features.parquet,11.5,171146,50281634063bb533e889bbf7c09a2ecf6f659a8c7b1b7a93739c052e642ac9ae,50281634063bb533e889bbf7c09a2ecf6f659a8c7b1b7a93739c052e642ac9ae,True
data/processed/phase115_elementary_migration_features.parquet,11.5,175794,59f4f7c93c6711dad45cda07378fe108a270fac7765550471a370d72a906b2f6,59f4f7c93c6711dad45cda07378fe108a270fac7765550471a370d72a906b2f6,True
data/processed/phase11_assignment_edges_audit.parquet,11,62450,d6528e2bf3f94180ec85b5de42c93f3c60bc07aea691b75684504616c0d40ddf,d6528e2bf3f94180ec85b5de42c93f3c60bc07aea691b75684504616c0d40ddf,True
data/processed/phase11_middle_catchment_demand.parquet,11,46150,f9393f1362d696f62eaccef4e1ed67cb13622cc3028c49385ef448b69fa45c4b,f9393f1362d696f62eaccef4e1ed67cb13622cc3028c49385ef448b69fa45c4b,True
data/processed/phase11_school_network.parquet,11,78199,f3cb52544c0c11834fbc974093a8eb3da7f33f9fde255258edf005f6ff4a78d4,f3cb52544c0c11834fbc974093a8eb3da7f33f9fde255258edf005f6ff4a78d4,True
data/processed/phase125_apartment_middle_options.parquet,12.5,114498,456f93376f321f70a3edff08141b66e808360819589ece544eb562ace296b7d0,456f93376f321f70a3edff08141b66e808360819589ece544eb562ace296b7d0,True
data/processed/phase125_result.json,12.5,690,506aacda3c36c24d1991b8fde975317fe727f8b8781bfca423555ec9533fdae8,506aacda3c36c24d1991b8fde975317fe727f8b8781bfca423555ec9533fdae8,True
data/processed/phase12_elementary_first_dataset.csv,12,31379945,12fcd2834adc18d1fb5317535e449f2ed6fe1ba666c470ccad682ab6ee64d55f,12fcd2834adc18d1fb5317535e449f2ed6fe1ba666c470ccad682ab6ee64d55f,True
data/processed/phase12_elementary_first_dataset.parquet,12,2877442,075449b096b8c93b9c1644a17c1d483aa1dca6ca57088a270733fe45f2535925,075449b096b8c93b9c1644a17c1d483aa1dca6ca57088a270733fe45f2535925,True
data/processed/phase12_result.json,12,348,cc5d5c2eba698c106f8da4de01b450148d4a5da29ad78b2e036f4ca2265f0141,cc5d5c2eba698c106f8da4de01b450148d4a5da29ad78b2e036f4ca2265f0141,True
data/processed/phase135_result.json,13.5,623,4d311871466a02d8333bdb3922abfff9b7d00fbf11622ed28f81bc6fb2a05e83,4d311871466a02d8333bdb3922abfff9b7d00fbf11622ed28f81bc6fb2a05e83,True
data/processed/phase135_transaction_sample.parquet,13.5,2711303,8ac265650b9ef88520bc2b074c3c2078b86859e3ec79073b0a6569a12a35fd16,8ac265650b9ef88520bc2b074c3c2078b86859e3ec79073b0a6569a12a35fd16,True
data/processed/phase13_result.json,13,278,b04c54a1d3155f63101065c1a73c613a826ce00c5b86129356343ea951166f9d,b04c54a1d3155f63101065c1a73c613a826ce00c5b86129356343ea951166f9d,True
